Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info
2024-09-16 00:00:00.000;TCZP1037;IT0014692;INC20431429;Kalibracja;n/d;weryfikacja problemu, pod∏àczenie zewn´trznej karty sieciowej
2024-09-16 00:00:00.000;TCZP1185;IT0027931;INC20469079;Kalibracja;-;Poluênienie rewindera
2024-09-17 00:00:00.000;TCZP3153;IT0025047;INC20481469;Wymiana glowicy;175552;
2024-09-17 00:00:00.000;TCZP2003;IT0000840;INC20432362;Kalibracja;-;
2024-09-20 00:00:00.000;TCZP1092;IT0002491;INC20535329;Kalibracja;-;
2024-09-21 00:00:00.000;TCZP1025;IT0036572;INC20539053;Kalibracja;-;
2024-09-21 00:00:00.000;TCZP1028;IT0004133;INC20539059;Kalibracja;-;
2024-09-22 00:00:00.000;TCZP1194;IT0018879;INC20492051;Problem z czujnikiem;-;Zmiana offsetów TOP position, Letf Position, reset default, zmiana pozycji czujnika etykiet
2024-09-22 00:00:00.000;TCZP1194;IT0018879;INC20507136;Problem z czujnikiem;-;Zmiana pozycji czujnika, kalibracja, zmian offsetów TOP position, Left Position 
2024-09-25 00:00:00.000;TCZP1132;IT0002440;INC20593282;Kalibracja;-;
2024-09-25 00:00:00.000;TCZP3158;IT0021751;INC20593160;Kalibracja;-;
2024-09-25 00:00:00.000;TCZP1011;IT0009200;INC20563452;Problem z czujnikiem;-;Usuni´cie przyplejonej etykiety z czujnika etykiet, ustawienie pozycji czujnika, wyczyszczenie czujnika izopropanolem, zmiana offsetów TOP Position, Left Position
2024-09-25 00:00:00.000;TCZP3198;IT0002288;INC20563727;Uszkodzenie mechaniczne;-;Dogi´cie maskownicy g∏owycy, zmiana pozycji i si∏y gocisku docisków, wyczyszczenia wa∏ka
2024-09-25 00:00:00.000;TCZP1019;IT0023724;INC20564252;Kalibracja;-;Reset defaults, kalibracja, zmiana offcestów TOP Position Left Position 
2024-09-27 00:00:00.000;TCZP4088;IT0038156;INC20629301;Kalibracja;-;
2024-09-27 00:00:00.000;TCZP3164;IT0017496;INC20609743;Kalibracja;-;
2024-09-27 00:00:00.000;TCZP2056;IT0013791;INC20628931;Kalibracja;-;
2024-09-27 00:00:00.000;TCZP4091;IT0038162;INC20617025;Kalibracja;-;
2024-09-30 00:00:00.000;TCZP3164;IT0017496;TCZP3164 ;Kalibracja;-;reset default, kalibracja zmiana offsetów, TOP Position, Left Position,
2024-10-03 00:00:00.000;TCZP2030;IT0013366;INC20702442;Czyszczenie;-;Czyszczenie g∏owicy, zmiana pozycji docisków
2024-10-03 00:00:00.000;TCZP2030;IT0013366;IT0036370;Kalibracja;-;Reset Default, kalibracja, zmiana offsetów 
2024-10-03 00:00:00.000;TCZP3225;IT0036370;INC20728959;Kalibracja;-;Reset default, kalibracja, zmiana offcestów 
2024-10-03 00:00:00.000;TCZP4088;IT0038156;INC20720068;Wymiana mediow;-;Wymiana kalki na poprawnà 
2024-10-03 00:00:00.000;TCZP4091;IT0038162;INC20720068;Wymiana mediow;-;Wymiana kalki na poprawny item
2024-10-03 00:00:00.000;TCZP4078;IT0038155;INC20724663;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Wyczyszczenie buforu wydruku w loftwarze
2024-10-03 00:00:00.000;TCZP4093;IT0038160;INC20724663;Wymiana mediow;-;Wymiana kalki na prawid∏owy item
2024-10-04 00:00:00.000;TCZP4058;IT0024849;INC20765223;Kalibracja;N/D;Kalibracja
2024-10-07 00:00:00.000;TCZP1185;IT0027931;INC20792266;Kalibracja;n/d;Dos∏ownie kalibracja. Mog∏em to zrobiç zdalnie. Nawet jej nie otworzy∏em
2024-10-07 00:00:00.000;TCZP1089;IT0001070;INC20797506;Kalibracja;n/d;Drukarka wymaga∏a ustawienia tej blaszki z przodu, co kalke trzyma
2024-10-08 00:00:00.000;TCZP3153;IT0025047;INC20800443;Problem z czujnikiem;n/d;czujnik by∏ êle wypozycjonowany, nie nachodzi∏ na naklejk´
2024-10-10 00:00:00.000;TCZP3244 ;IT0024204;INC20840594;Kalibracja;-;
2024-10-11 00:00:00.000;TCZP3252;IT0038546;INC20845700;Kalibracja;n/d;Poprawiono media
2024-10-10 00:00:00.000;TCZP3182;IT0002252;INC20841846;Kalibracja;-;
2024-10-11 00:00:00.000;TCZP1043;IT0003170;INC20823575;Problem sieciowy;-;Restart drukarki, wyczyszczenie g∏owicy, zmiana darkness
