Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;üˆczna liczba wydruk—w;Okres przeglˆdu;Limit wydruk—w;Total
00370;IT0011933;TCZP1127;zebra,110xi4,600dpi;14J134200626;b1;abb hla stanowiskoa-02;93;0;93;P—¸roczny;100000;9231
00374;IT0011901;TCZP2009;zebra,110xi4,600dpi;14J112200342;b1;sealed air team leader;0;0;0;Kwartalny;100000;37884
00376;IT0011903;TCZP1180;zebra,110xi4600dpi;14J114000841;b2;kitting 1;1193;0;1193;P—¸roczny;100000;944212
00377;IT0000665;TCZP2082;zebra,110xi4300dpi;14J103800190;b2;dzielenie 6;0;0;0;P—¸roczny;100000;336493
00379;IT0000407;TCZP4065;zebra,110xi4300dpi;14J141700361;b2;stanowisko pakowania 1;126;0;126;P—¸roczny;100000;12002
00400;IT0001082;TCZP1141;zebra,110xi4,300dpi;14J110200137;b2;stanowisko weryfikacji;5112;0;5112;P—¸roczny;100000;84816
00403;IT0009401;...;110xi4 600dpi;14J151400609;b2;df uag;25814;48;25862;P—¸roczny;100000;102371
00404;IT0009400;(default);110xi4 600dpi;14J151400612;b2;sprue;0;0;0;P—¸roczny;100000;77
00405;IT0009399;...;110xi4 600dpi;14J151400611;b2;uag;403360;0;403360;P—¸roczny;100000;936265
00406;IT0009397;(default);110xi4 600dpi;14J151400607;b2;uag;0;0;0;P—¸roczny;100000;82090
00407;IT0009398;TCZP1217;110xi4 600dpi;14J151400606;b2;sprue;25589;0;25589;P—¸roczny;100000;92251
00409;IT0012018;TCZP2017;110xi4 300dpi;14J151100759;b2;programator;0;0;0;P—¸roczny;100000;67944
00410;IT0012019;TCZP1222;zebra,110xi4300dpi;14J151100735;b2;kitting 6;440;0;440;P—¸roczny;100000;224419
00411;IT0012020;...;zebra,110xi4300dpi;14J151800513;b3 bis;sortownia mech przepakowanie;15777;0;15777;P—¸roczny;100000;243564
00413;IT0012219;...;110xi4 600dpi;14J152400558;b2;feilo sylvania;71852;0;71852;P—¸roczny;100000;72002
00415;IT0011930;TCZP;110xi4-300dpi;14J113001031;b2;hds;2977;0;2977;P—¸roczny;100000;11759
00416;IT0012260;TCZP1082;110xi4-600dpi;14J132600393;b2;sprue pakowanie 3;39851;0;39851;P—¸roczny;100000;1181058
00417;IT0012261;TCZP1135;z4m+ 300 dpi;02C05490631;b4;przy stanowisku int_vienna-tl;887;0;887;P—¸roczny;100000;4544
00419;IT0012263;TCZP2053;zebraz4mplus,300dpi;02C04460971;b1;abb tl;0;0;0;P—¸roczny;100000;50673
00422;IT0012257;TCZP2025;zebraz4mplus,300dpi;02C06491486;b1;ikea jupiter tl;0;0;0;Kwartalny;100000;49598
00424;IT0009396;TCZP2023;zebra,110xi4,300dpi;14J151201086;b3;stanowisko9,10;0;0;0;P—¸roczny;100000;217090
00425;IT0009394;TCZP1241;zebra,110xi4,300dpi;14J151201087;b3;stara jabra shipping;5969;0;5969;P—¸roczny;100000;111026
00427;IT0012286;TCZP1046;zebra,110xi4300dpi;14J113900835;b2;teamleader/magazynier;212;0;212;P—¸roczny;100000;13149
00428;IT0012287;TCZP2028;z6mplus;02c06450371;b2;obszar biur przy b2 - bp1;0;0;0;P—¸roczny;100000;149
00430;IT0012295;TCZP1038;z4mplus 300dpi;02C07091021;b2;calibration;21606;0;21606;P—¸roczny;100000;53487
00435;IT0012306;TCZP2036;zebra,90xi3300dpi;985802;b2;nakoncu;0;0;0;P—¸roczny;100000;173587
00438;IT0012410;TCZP1223;zebra,110xi4600dpi;14J153200523;b2;pakowanie4.5;1265;0;1265;P—¸roczny;100000;316445
00440;IT0012608;TCZP1228;zebra,110xi4,600dpi;14J153900754;b4;hwpacking1;622;0;622;P—¸roczny;100000;25888
00446;IT0012698;TCZP2040;zebra,110xi4,300dpi;14J154400333;b4;wydania/zwroty;0;0;0;P—¸roczny;100000;263495
00447;IT0012719;TCZP2001;xi3 plus 300 dpi;91C08080877;b2;naprawy;1110;0;1110;P—¸roczny;100000;50196
00449;IT0012766;TCZP1130;zebra,110xi4,300dpi;14J154900545;b3;sortownia;722;0;722;P—¸roczny;100000;58261
00450;IT0013299;TCZP1211;zebra,110xi4,300dpi;14J154500899;b1;centrumpakowania;311;0;311;P—¸roczny;100000;34163
00453;IT0013365;TCZP1173;zebra,110xi4,300dpi;14J151201098;b1;polewejstronienakoncu;8934;0;8934;P—¸roczny;100000;83775
00454;IT0013366;TCZP2030;110xi4 300dpi;14J152400381;b3;stanowisko 3;0;0;0;P—¸roczny;100000;275765
00455;IT0013367;TCZP1015;zebra,110xi4,300dpi;14J152400380;b1;abbstanowiskoqi;1759;0;1759;P—¸roczny;100000;22257
00459;IT0013874;TCZP1251;zebra,110xi4300dpi;14J160300540;b2;w2 module assembly;13324;0;13324;P—¸roczny;100000;221223
00460;IT0013873;TCZP1250;zebra,110xi4300dpi;14J160600078;b2;stanowisko 1a;9489;0;9489;P—¸roczny;100000;179995
00461;IT0013872;TCZP1133;zebra,110xi4,300dpi;14J160600081;b1;allegion,przymaszyniefa-0148;0;0;0;P—¸roczny;100000;47024
00462;IT0013871;TCZP1049;110xi4;14J160600072;b3 bis;final shipping core;238;0;238;P—¸roczny;100000;46407
00463;IT0013870;TCZP1175;zebra,110xi4,300dpi;14J160600066;b1;poprawejstronie;1179;0;1179;P—¸roczny;100000;7440
00464;IT0013875;TCZP1108;zebra,110xi4,300dpi;14J160600088;b1;allegion,fa-0142-fa-0144;6088;0;6088;P—¸roczny;100000;225877
00465;IT0013896;TCZP1120;zebra,110xi4300dpi;14J161400256;b2;stanowisko 1b;23480;0;23480;P—¸roczny;100000;692179
00466;IT0013897;TCZP1240;zebra,110xi4300dpi;14J161400250;b2;full kitting 4;2;0;2;P—¸roczny;100000;26197
00467;IT0013895;TCZP1184;zebra,110xi4,300dpi;14J161400255;b1;allegion,stanowiskowagowe;0;0;0;P—¸roczny;100000;319346
00468;IT0013894;TCZP1244;zebra,110xi4300dpi;14J161400253;b2;e// oslo pakowanie;22145;0;22145;P—¸roczny;100000;117519
00469;IT0014574;TCZQ0014;zebraqln420;XXQVJ163300234;b1;dystrybucjamech;0;0;0;P—¸roczny;100000;200652
00470;IT0014575;TCZQ0015;zebraqln420;XXQVJ163300250;b3bis;wh support;1;0;1;P—¸roczny;100000;73237
00473;IT0014592;TCZP1225;zebra,110xi4600dpi;14J163000311;b2;w—zek wyjasnien;104;0;104;P—¸roczny;100000;116228
00474;IT0014590;TCZP2043;zebra,110xi4,300dpi;14J161601663;b4;hwpacking1;0;0;0;P—¸roczny;100000;37551
00475;IT0014591;TCZP2042;zebra,110xi4,300dpi;14J162000035;b3bis;supportwhtl7943stanowisko1;9088;0;9088;P—¸roczny;100000;56606
00476;IT0014692;TCZP1037;110xi4 300 dpi;14J163700156;b2;dzielenie 4;3930;0;3930;P—¸roczny;100000;18799
00480;IT0014744;TCZQ0017;qln420;XXQVJ163300086;b3;narzedzia;0;0;0;P—¸roczny;100000;105615
00482;IT0014791;TCZP1063;110xi4;14J163900324;b2;linia kerlink;4573;0;4573;P—¸roczny;100000;17213
00483;IT0014920;TCZP2060;zebra,110xi4300dpi;91C05400173;b2;kitting 5;0;0;0;P—¸roczny;100000;628643
00484;it0014919;...;110ix4 300 dpi;14j164001036;b3;maciej szymanski;7732;0;7732;P—¸roczny;100000;7737
00487;it0014926;TCZQ0024;qln420;xxqvj163800342;b3;Dystrybucja;0;0;0;P—¸roczny;100000;9943
00489;IT0014928;TCZQ0023;zebraqln420;XXQVJ162801404;b3;narzedzia;0;0;0;P—¸roczny;100000;170489
00493;IT0014985;TCZP1227;zebra,110xi4600dpi;14j164000184;b2;pakowanie;412;0;412;P—¸roczny;100000;38157
00494;IT1003985;...;zebraqln420;XXQVJ164201145;b3;Dystrybucja;0;0;0;P—¸roczny;100000;200097
00495;IT0015006;TCZQ0032;qln420;XXQVJ164201147;b1;tunel/bufor (magazyn mech 13);0;0;0;P—¸roczny;100000;11311
00497;it0014947;TCZP2038;zebra,110xi4,300dpi;14j164501190;b4;tl;0;0;0;P—¸roczny;100000;58970
00498;IT0015479;TCZP1242;zebra,110xi4,300dpi;14J165200708;b1;abbthortl;14;0;14;P—¸roczny;100000;38795
00499;IT0015517;TCZP2044;zebra,110xi4,600dpi;14J170100077;b4;dystrybutor;0;0;0;P—¸roczny;100000;12673
00500;IT0015529;TCZP1105;zebra,110xi4,600dpi;14J170100074;b4;dystrybutor;51;0;51;P—¸roczny;100000;68943
00502;IT0015518;TCZP1048;zebra,110xi4,300dpi;14J170400744;b4;dystrybutor;36;0;36;P—¸roczny;100000;17366
00506;IT0015970;TCZQ0025;zebraqln420;XXQVJ163800318;b3;narzedzia;0;0;0;P—¸roczny;100000;231642
00507;IT0016169;TCZQ0029;zebraqln420;XXQVJ170301256;b3;Dystrybucja;0;0;0;P—¸roczny;100000;76793
00510;IT0016301;TCZP1243;zebra,110xi4,600dpi;14J171400387;b4;dystrybutor;22;0;22;P—¸roczny;100000;7287
00511;IT0016317;TCZP1245;zebra,110xi4,600dpi;14J171400364;b4;tl;0;0;0;P—¸roczny;100000;63624
00514;IT0016320;TCZP1253;zebra,110xi4,300dpi;14J170900198;b4;pakowanie;754;0;754;P—¸roczny;100000;19966
00516;IT0014948;TCZP1221;110xi4 300dpi;14j164501174;b2;stanowisko1a;49550;0;49550;P—¸roczny;100000;597166
00517;IT0016420;TCZP1172;zebra,110xi4,300dpi;14J171000537;b4;sw montaz 1;31;0;31;P—¸roczny;100000;24583
